city_combined,country
kabul|kandahār|kandahar|herāt|herat|mazār-e sharīf|mazar-e sharif|kunduz|jalālābād|jalalabad|lashkar gāh|lashkar gah|maīmanah|maimanah|shibirghān|shibirghan|khōst|khost|ghaznī|ghazni|pul-e khumrī|pul-e khumri|tāluqān|taluqan|farāh|farah|gardēz|gardez|faīẕābād|faizabad|bāmyān|bamyan|chārīkār|charikar|sar-e pul|zaranj|asadābād|asadabad|maīdān shahr|maidan shahr|mehtar lām|mehtar lam|fayrōz kōh|fayroz koh|qalāt|qalat|tarīn kōṯ|tarin kot|maḩmūd-e rāqī|mahmud-e raqi|qal‘ah-ye now|qal`ah-ye now|aībak|aibak|pul-e ‘alam|pul-e `alam|sharan|nīlī|nili|bāzārak|bazarak|pārūn|parun|balkh|baghlān|baghlan|kōṯah-ye ‘as̲h̲rō|kotah-ye `ashro|khulm|khānābād|khanabad|barakī barak|baraki barak|qal‘ah-ye zāl|qal`ah-ye zal|karukh|zarghūn shahr|zarghun shahr|andkhōy|andkhoy|buynī qarah|buyni qarah,Afghanistan
tirana|durrës|durres|vlorë|vlore|kamëz|kamez|fier|shkodër|shkoder|elbasan|korçë|korce|berat|gjirokastër|gjirokaster|lezhë|lezhe|kukës|kukes|peshkopi|sarandë|sarande|lushnjë|lushnje|kavajë|kavaje|pogradec|fushë-krujë|fushe-kruje|laç|lac|sukth|patos|librazhd-qendër|librazhd-qender|kuçovë|kucove|krujë|kruje|burrel|vorë|vore|gramsh|shijak|libonik|belsh|rrëshen|rreshen|ballsh|mamurras|divjakë|divjake|bulqizë|bulqize|shëngjin|shengjin|vau i dejës|vau i dejes|rrogozhinë|rrogozhine|peqin|bilisht|librazhd|cërrik|cerrik|roskovec|përmet|permet|prrenjas|krumë|krume|delvinë|delvine|bajram curri|tepelenë|tepelene|ersekë|erseke|çorovodë|corovode|pukë|puke,Albania
algiers|oran|constantine|blida|batna|sétif|setif|djelfa|annaba|sidi bel abbès|sidi bel abbes|biskra|tébessa|tebessa|tiaret|bejaïa|bejaia|tlemcen|bordj bou arreridj|skikda|béchar|bechar|el eulma|chlef|souk ahras|m’sila|m'sila|mostaganem|touggourt|médéa|medea|tizi ouzou|el oued|laghouat|jijel|ouargla|relizane|saïda|saida|guelma|ghardaïa|ghardaia|khenchela|bou saâda|bou saada|mascara|messaad|aïn oussera|ain oussera|oum el bouaghi|el bayadh|tamanrasset|tissemsilt|bouira|adrar|tindouf|boumerdes|el tarf|tipasa|illizi|naama|aïn temouchent|ain temouchent|aïn defla|ain defla|mila|es senia|el milia|bordj menaïel|bordj menaiel|mecheria|aïn sefra|ain sefra|lakhdaria|boufarik|azzaba|akbou|’aïn azel|'ain azel|ouled moussa|hassi messaoud|’aïn arnat|'ain arnat|draa el mizan|souma|azazga|didouche mourad|timimoun|dellys|i-n-salah|draa ben khedda|el golea|boghni|tizi gheniff|l’arbaa naït irathen|l'arbaa nait irathen|timizart|freha|mekla|beni amrane|makouda|tadmaït|tadmait|amoucha|naciria|kadiria|djinet|beni douala|thenia|tizi-n-bechar|’aïn el hammam|'ain el hammam|aomar|tala yfassene|reggane|arbaoun|tirmitine|timoktene|beni fouda|tizi rached|aïn zaouïa|ain zaouia|sidi daoud|azeffoun|’aïn abessa|'ain abessa|tichi|chorfa|bordj mokhtar|ouadhia|boudjima|tizi-n-tleta|aït yaïch|ait yaich|djanet|iflissen|abadla|takerbouzt|moudjbara|afir|mechtras|sali|arhribs|iferhounene|si mustapha|el adjiba|yakouren|tigzirt|bechloul|’aïn roua|'ain roua|charouine|bir ghbalou|sidi namane|beni abbès|beni abbes|ben n’choud|ben n'choud|bordj okhriss|ben nasseur|souama|bou nouh|toudja|ouled rached|ifigha|seddouk oufella|i-n-amenas|abalessa|boukhralfa|tifra|amalou|taourga|beni aïssi|beni aissi|souk el had|in guezzam|aït bou madhi|ait bou madhi|el maïn|el main|beni ounif|tassamert|i-n-amguel,Algeria
pago pago,American Samoa
andorra la vella|escaldes-engordany|encamp|la massana|sant julià de lòria|sant julia de loria|ordino|canillo,Andorra
luanda|huambo|lubango|cabinda|belas|lobito|saurimo|cubal|uíge|uige|menongue|vila teixeira da silva|sumbe|caála|caala|matala|moçâmedes|mocamedes|ganda|catumbela|catape|ndalatando|lucapa|benguela|negage|porto amboim|chinguar|catabola|malanje|ondjiva|cassongue|cuito|quilengues|mbanza kongo|caxito|luena|dundo|luau|capenda camulemba|soio|cuito cuanavale|porto alexandre|portoalexandre|mavinga|caluquembe|longonjo|camacupa|ambriz|camabatela|uacu cungo|nzeto|songo|quibala|dondo|chibemba|chibia|xangongo|cazombo|quipungo|muconda|cangamba|cacolo|calulo|calenga|tchitado,Angola
the valley,Anguilla
saint john’s|saint john's,Antigua And Barbuda
buenos aires|córdoba|cordoba|rosario|comodoro rivadavia|san miguel de tucumán|san miguel de tucuman|mar del plata|salta|san juan|lanús|lanus|florencio varela|santa fe|corrientes|san salvador de jujuy|bahía blanca|bahia blanca|resistencia|posadas|santiago del estero|paraná|parana|merlo|gonzález catán|gonzalez catan|quilmes|neuquén|neuquen|banfield|josé c  paz|jose c. paz|formosa|isidro casanova|la plata|godoy cruz|berazategui|la rioja|san luis|san miguel|josé maría ezeiza|jose maria ezeiza|san nicolás de los arroyos|san nicolas de los arroyos|catamarca|rafael castillo|río cuarto|rio cuarto|concordia|san justo|ituzaingó|ituzaingo|temperley|ramos mejía|ramos mejia|lomas de zamora|san martín|san martin|mendoza|tandil|puerto madryn|bernal|castelar|san carlos de bariloche|esteban echeverría|esteban echeverria|villa mercedes|gualeguaychú|gualeguaychu|san rafael|morón|moron|la banda|villa luzuriaga|caseros|santa rosa|libertad|burzaco|berisso|ciudad general belgrano|san francisco solano|río gallegos|rio gallegos|monte chingolo|remedios de escalada|ezpeleta|lomas del mirador|bella vista|wilde|villa domínico|villa dominico|los polvorines|rafael calzada|viedma|ushuaia|longchamps|villa alsina|san isidro|josé mármol|jose marmol|haedo|munro|dock sur|villa adelina|villa celina|adrogue|rawson|avellaneda|vicente lópez|vicente lopez|tapiales|don bosco|villa sarmiento|aldo bonzi|malvinas argentinas|zárate|zarate|trelew|rafaela|pergamino|campana|olavarría|olavarria|junín|junin|pilar|presidencia roque sáenz peña|presidencia roque saenz pena|luján|lujan|general roca|gobernador gálvez|gobernador galvez|necochea|villa maría|villa maria|venado tuerto|san ramón de la nueva orán|san ramon de la nueva oran|concepción del uruguay|concepcion del uruguay|goya|reconquista|las heras|oberá|obera|santo tomé|santo tome|villa carlos paz|san francisco|sarandí|sarandi|tartagal|chajarí|chajari|san pedro|punta alta|general pico|azul|chivilcoy|mercedes|cruz del eje|caleta olivia|el talar de pacheco|villaguay|libertador general san martín|libertador general san martin|la reja|alta gracia|san lorenzo|villa constitución|villa constitucion|tres arroyos|río tercero|rio tercero|pinamar|esperanza|gualeguay|balcarce|aristóbulo del valle|aristobulo del valle|granadero baigorria|esquel|nueve de julio|cutral-có|cutral-co|casilda|chacabuco|centenario|bell ville|chilecito|bragado|la calera|plottier|zapala|jesús maría|jesus maria|río grande|rio grande|victoria|villa ángela|villa angela|villa regina|villa gesell|capitán bermúdez|capitan bermudez|cañada de gómez|canada de gomez|baradero|villa allende|san martín de los andes|san martin de los andes|marcos juárez|marcos juarez|dolores|firmat|colón|colon|lincoln|coronel suárez|coronel suarez|veinticinco de mayo|allen|tunuyán|tunuyan|cinco saltos|deán funes|dean funes|el calafate|chascomús|chascomus|pico truncado|sunchales|laboulaye|brandsen|general martín miguel de güemes|general martin miguel de guemes|río segundo|rio segundo|vera|rufino|unquillo|charata|lobos|coronda|general juan madariaga|general deheza|santa elena|catriel|eldorado|ayacucho|santa maría|santa maria|federación|federacion|la falda|carcarañá|carcarana|san antonio oeste|villa del rosario|villa paranacito|fray luis a  beltrán|fray luis a. beltran|carmen de areco|ceres|san cristóbal|san cristobal|puerto deseado|añatuya|anatuya|mar de ajó|mar de ajo|la quiaca|san javier|frías|frias|joaquín v  gonzález|joaquin v. gonzalez|puerto san martín|puerto san martin|plaza huincul|oncativo|chos malal|rosario del tala|san salvador|junín de los andes|junin de los andes|la carlota|laguna paiva|las parejas|malargüe|malargue|cafayate|río colorado|rio colorado|oliva|cerrillos|coronel dorrego|monte quemado|humahuaca|belén|belen|capilla del monte|armstrong|villa la angostura|sarmiento|benito juárez|benito juarez|frontera|corral de bustos|leones|san josé de feliciano|san jose de feliciano|choele choel|castelli|embalse|rada tilly|chamical|yacimiento río turbio|yacimiento rio turbio|jesús nazareno|jesus nazareno|mina clavero|helvecia|san julián|san julian|villa general belgrano|santa rosa de río primero|santa rosa de rio primero|lamarque|las lomitas|carhué|carhue|general fernández oro|general fernandez oro|rinconada|ingeniero guillermo n  juárez|ingeniero guillermo n. juarez|comandante luis piedra buena|villa cura brochero|trevelín|trevelin|ingeniero jacobacci|ingeniero luis a  huergo|ingeniero luis a. huergo|veintiocho de noviembre|chepes|villa huidobro|general conesa|san antonio de los cobres|macachín|macachin|los menucos|perito moreno|gobernador gregores|abra pampa|victorica|la paz|comandante fontana|el maitén|el maiten|pampa del infierno|río mayo|rio mayo|chumbicha|trancas|alto río senguer|alto rio senguer|sierra colorada|las lajas|susques|comallo|rodeo|gastre|tinogasta|telsen|pedro luro|monte cristo|justiniano posse|senillosa|laguna larga|sierra grande|río primero|rio primero|general levalle|perugorría|perugorria|bialet massé|bialet masse|darregueira|villalonga|uspallata|villa rumipal|los blancos,Argentina
yerevan|gyumri|vanadzor|hrazdan|kapan|armavir|ashtarak|artashat|gavarr|ijevan|kasakh|yeghegnadzor|ejmiatsin|abovyan|charentsavan|stepanavan|sevan|ararat|goris|artik|dilijan|spitak|sisian|vedi|alaverdi|vardenis|martuni|yeghvard|nor hachn|metsamor|berd|vardenik|akhuryan|ayntap|parakar|tashir|byureghavan|garrni|nor kharberd|jermuk|jrvezh|k’ajaran|k'ajaran|zolakar|metsavan|sardarapat|aparan|karmir gyukh|arrinj|nor geghi|geghahovit|yeranos|mrgashat|oshakan|chambarak|azatan|aragatsavan|vayk|gugark|maralik|lichk|arzakan|odzun|noyemberyan|zovuni|nalbandyan|prroshyan|malishka,Armenia
